id,name,website,linkedin_url,description,sectors,location,country_guess,discovery_source,discovery_query,validation_score,confidence,validation_reasons,,,,
fo_034,Pershing Square Foundation,https://pershingsquarefoundation.org/,https://www.linkedin.com/company/the-pershing-square-foundation,"Family foundation of Bill Ackman and Karen Herskovitz Ackman, founded 2006. Supports global health, education, economic development, and the arts.","philanthropy, healthcare, education, arts","New York, NY",USA,manual_curation,curated from public sources after URL verification flagged original,7,high,manually_curated;url_verified_replacement;known_entity,,,,
fo_035,Sage Hill Investors,https://www.sagehillinvestors.com/,https://www.linkedin.com/company/sage-hill-investors,"Family office based in Atlanta and Chattanooga, focused on impact investing in agriculture, food, healthcare, and climate.","agriculture, food, sustainability, healthcare, climate","Chattanooga, TN",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_036,Beamonte Investments,https://www.beamonte.com/,https://www.linkedin.com/company/beamonte,Single Family Office founded 2000 in New York. $6B+ in transactions across alternative asset classes. Focus on recurring revenue businesses.,"media, manufacturing, fintech, real estate, B2B services","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_037,Falcon Capital Family Office,https://falcon-cp.com,https://www.linkedin.com/company/falcon-family-office,Family office with 30+ years experience investing in North America and Europe. Strategic partnerships across sectors.,"private equity, real estate, growth equity","Philadelphia, PA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_038,Apex Heritage Group,https://apexlp.com,https://www.linkedin.com/company/apex-heritage,Family office fund investing in small-to-mid-sized industrial manufacturing and services companies in the Southern US.,"oilfield services, manufacturing, real estate, industrial","Houston, TX",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_039,Third Lake Capital,https://www.tlcapital.com/,https://www.linkedin.com/company/third-lake-capital-llc,"Tampa-based family office serving a Forbes 400 family. Specializes in PE, real estate, venture capital, and capital markets.","real estate, venture capital, private equity, capital markets","Tampa, FL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_040,Springlake Partners,https://springlakepartners.com,https://www.linkedin.com/company/springlake-financial,"Family office with operating platforms and investments in real estate, financial services, and hospitality. Patient capital approach.","real estate, financial services, hospitality, private equity","Orlando, FL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_041,Blue Ocean Enterprises,https://blueocean-inc.com,,"Family office of Curt and Nancy Richardson. Invests in real estate, industrial properties, and innovative companies aligned with community impact.","commercial real estate, oil and gas, retail, consumer","Fort Collins, CO",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_042,Capstone Holdings,https://capstoneholdingsinc.com,https://www.linkedin.com/company/capstone-holdings-inc,"Family office holding company in Florida partnering with entrepreneurs in real estate, healthcare, fintech, media, and transportation.","real estate, technology, fintech, media, transportation","Bonita Springs, FL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_043,Wilson Holding Company,https://wilsonholdingcompany.com,https://www.linkedin.com/company/wilson-holding-company,Family office and investment management firm operating multiple businesses generating ~$11M annual revenue including Wilson.Training and Wilson.Data.,"beverages, family office services, training, investment","Kailua, HI",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_044,Builders Vision,https://www.buildersvision.com/,https://www.linkedin.com/company/buildersvision,"Impact platform founded by Lukas Walton (Walton family). Combines philanthropy, investing, and advocacy across food and agriculture, oceans, and energy systems.","impact investing, climate, food, agriculture, oceans, energy","Chicago, IL",USA,manual_curation,curated from public sources after URL verification flagged original,7,high,manually_curated;url_verified_replacement;known_entity,,,,
fo_045,Jefferson River Capital,https://www.mrivercapital.com/,https://www.linkedin.com/company/jefferson-river-capital-llc,"Family office of Hamilton E. James (former Blackstone president). Invests across education, IT, sports, retail, life sciences, real estate.","education, technology, sports, retail, real estate, healthcare","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_046,Bristlecone Advisors,https://www.bristleconeadvisors.com/,,Multi-family office in Seattle providing investment management and family office services to ultra-high-net-worth families.,"wealth management, public markets, alternatives, real estate","Seattle, WA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_047,Coolidge Family Office (Loring Wolcott & Coolidge),https://lwcotrust.com,,"Boston-based multi-family office serving families for generations. Focuses on estate planning, tax-efficient wealth transfer, and global equities.","global equities, estate planning, philanthropy, wealth preservation","Boston, MA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_048,Anchor Capital,https://anchorcapital.com/,,Family office active since 1988. Disciplined value strategies for managed account investors with downside protection focus.,"value equities, public markets, alternatives","Boston, MA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_049,JD Paramount,https://jdparamount.com,https://www.linkedin.com/company/jdparamount,"NYC family office investing across real estate (LP investments in NYC metro), private equity (multi-sector), and venture growth.","real estate, private equity, venture growth, fintech, AI","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_050,Meritage Family Office,https://meritagegroup.com,,"San Francisco family office founded 2006, part of Meritage Group. Manages significant AUM across diversified financial strategies.","investment banks, clean tech, new energy","San Francisco, CA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
